Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Distance
0,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
0.051,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
0.069,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.32
0.155,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
0.17,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3453.47
0.207,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3453.47
0.231,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3453.47
0.268,-0.94,0.37,-9.64,0.06,-0.08,-0.05,3453.47
0.297,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
0.344,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
0.37,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
0.402,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
0.43,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
0.462,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
0.507,-0.95,0.36,-9.62,0.06,-0.08,-0.04,3452.2
0.532,-0.95,0.36,-9.62,0.06,-0.08,-0.04,3452.2
0.566,-0.95,0.36,-9.62,0.06,-0.08,-0.04,3452.2
0.595,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3453.47
0.69,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.47
0.702,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.47
0.74,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.9
0.761,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.9
0.81,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.9
0.83,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
0.859,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.63
0.905,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.2
0.93,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3452.2
0.964,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3451.35
0.991,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3451.35
1.024,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3451.35
1.07,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
1.097,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
1.206,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3452.63
1.223,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3452.63
1.269,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3455.17
1.294,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3455.17
1.329,-0.93,0.37,-9.62,0.06,-0.08,-0.05,3454.32
1.356,-0.93,0.37,-9.62,0.06,-0.08,-0.05,3454.32
1.389,-0.93,0.37,-9.62,0.06,-0.08,-0.05,3454.32
1.434,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.47
1.46,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3453.47
1.493,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
1.52,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.9
1.554,-0.94,0.37,-9.63,0.06,-0.08,-0.04,3453.9
1.598,-0.94,0.37,-9.63,0.06,-0.08,-0.04,3453.9
1.624,-0.94,0.37,-9.63,0.06,-0.08,-0.04,3453.9
1.731,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3452.63
1.751,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3452.63
1.796,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3452.63
1.82,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3452.63
1.855,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.2
1.886,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.2
1.915,-0.94,0.38,-9.63,0.06,-0.08,-0.05,3452.2
1.961,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.74
1.985,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3454.74
2.021,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.2
2.046,-0.94,0.36,-9.62,0.06,-0.08,-0.05,3452.2
2.081,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
2.126,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3453.05
